"﻿0";"Assistance";"Sort mineur de divination";"1 action";"contact";"V, G";"(C) 1 minute";"Vous touchez une créature consentante. Une fois avant que le sort prenne fin, la cible peut lancer un d4 et ajouter le résultat à un test de caractéristique de son choix. Ce jet peut être effectué avant ou après le test de caractéristique en question. Ensuite, le sort prend fin.";"Druide"
"0";"Bouffée de poison";"Sort mineur d’invocation";"1 action";"3 m";"V, G";"instantanée";"Un nuage de gaz délétère jaillit de votre paume tendue vers une créature que vous voyez à portée. La créature doit réussir un JS Constitution sous peine de subir 1d12 dégâts de poison. <br> Les dégâts de ce sort augmentent de 1d12 quand vous atteignez le niveau 5 (2d12), le niveau 11 (3d12) et le niveau 17 (4d12).";"Druide"
"0";"Contrôle des flammes";"Sort mineur de transmutation";"1 action";"18 m";"G";"instantanée ou 1 heure (voir description)";"Choisissez une flamme non magique que vous voyez à portée, dont les dimensions ne dépassent pas un cube de 1,50 m d’arête. Vous l’affectez de l’une des manières suivantes : <br> • Les flammes se déploient de 1,50 m dans la direction de votre choix, à condition que du bois ou du carburant y soit présent. <br> • Les flammes comprises dans le cube s’éteignent aussitôt. <br> • La zone de lumière vive et de lumière faible voit son rayon doubler ou diminuer de moitié, ou vous en changez la couleur (ou un mixte de ces effets). Cette altération persiste pendant 1 heure. <br> • Des formes simples comme une vague silhouette de créature, un objet inanimé ou un lieu, apparaissent au cœur des flammes et s’animent à votre guise. Cette manifestation persiste pendant 1 heure. <br> Si vous lancez ce sort plusieurs fois, vous pouvez produire jusqu’à trois effets non instantanés qui restent actifs simultanément, sachant que chaque effet peut être révoqué au prix d’une action.";"Druide"
"0";"Coup de tonnerre";"Sort mineur d’évocation";"1 action";"1,50 m";"G";"instantanée";"Vous produisez un bruit tonitruant que l’on entend jusqu’à 30 m de son origine. Toute créature située à portée du sort autre que vous doit réussir un JS Constitution sous peine de subir 1d6 dégâts de tonnerre. <br> Les dégâts de ce sort augmentent de 1d6 quand vous atteignez le niveau 5 (2d6), le niveau 11 (3d6) et le niveau 17 (4d6).";"Druide"
"0";"Druidisme";"Sort mineur de transmutation";"1 action";"9 m";"V, G";"instantanée";"Vous murmurez aux esprits de la nature pour produire un des effets suivants à portée : <br> Vous créez un modeste effet sensoriel inoffensif qui prédit le temps qu’il fera là où vous êtes pendant les 24 prochaines heures. Il peut prendre la forme d’un globe doré pour un ciel dégagé, d’un nuage pour la pluie, de flocons de neige pour une averse de neige, etc. Cet effet persiste pendant 1 round. <br> • Vous faites instantanément éclore une fleur, germer une graine ou fleurir un bouton. <br> • Vous créez un effet sensoriel inoffensif instantané, comme la chute de feuilles, un coup de vent léger, un bruit de petit animal, ou une légère odeur de moufette. L’effet doit pouvoir être contenu dans un cube de 1,50 m d’arête. <br> • Vous allumez ou soufflez instantanément une bougie, une torche ou un petit feu de camp.";"Druide"
"0";"Embrasement";"Sort mineur d’invocation";"1 action";"18 m";"V, G";"(C) 1 minute";"Vous créez un feu de joie sur un sol que vous voyez à portée. Tant que le sort persiste, les flammes magiques remplissent un cube de 1,50 m de côté. Toute créature occupant l’espace du feu de joie à l’incantation doit réussir un JS Dextérité sous peine de subir 1d8 dégâts de feu. La créature doit également effectuer ce jet de sauvegarde lorsqu’elle y pénètre pour la première fois d’un tour ou y termine son tour de jeu. <br> Le feu de joie embrase les objets inflammables de sa zone d’effet qui ne sont pas portés. <br> Les dégâts de ce sort augmentent de 1d8 quand vous atteignez le niveau 5 (2d8), le niveau 11 (3d8) et le niveau 17 (4d8).";"Druide"
"0";"Fouet épineux";"Sort mineur de transmutation";"1 action";"9 m";"V, G, M ";"instantanée";"(une tige de plante épineuse) Vous créez un fouet à l’aspect de ronce qui s’abat sur une créature à portée que vous lui désignez. Effectuez un jet d’attaque de sort au corps à corps contre la cible. En cas de réussite, la créature subit 1d6 dégâts perforants et se retrouve tirée de 3 m vers vous si elle est de taille G ou inférieure. <br> Les dégâts de ce sort augmentent de 1d6 quand vous atteignez le niveau 5 (2d6), le niveau 11 (3d6) et le niveau 17 (4d6).";"Druide"
"0";"Gelure";"Sort mineur d’évocation";"1 action";"18 m";"V, G";"instantanée";"Vous engourdissez de froid une créature que vous voyez à portée. La cible doit effectuer un JS Constitution. En cas d’échec, elle subit 1d6 dégâts de froid et subit un désavantage au prochain jet d’attaque d’arme qu’elle effectue avant la fin de son tour de jeu suivant. <br> Les dégâts de ce sort augmentent de 1d6 quand vous atteignez le niveau 5 (2d6), le niveau 11 (3d6) et le niveau 17 (4d6).";"Druide"
"0";"Gourdin magique";"Sort mineur de transmutation";"1 action bonus";"contact";"V, G, M ";"1 minute";"(du gui, un trèfle et un gourdin ou bâton de combat) Le gourdin ou bâton que vous tenez est investi du pouvoir de la nature. Pour toute la durée du sort, vous pouvez utiliser votre caractéristique d'incantation au lieu de votre Force pour les jets d’attaque et de dégâts des attaques de corps à corps utilisant cette arme, et le dé de dégâts de l’arme devient un d8. En outre, elle devient magique si elle ne l’est pas déjà. Le sort prend fin si vous le relancez ou si vous lâchez l’arme.";"Druide"
"0";"Infestation";"Sort mineur d’invocation";"1 action";"9 m";"V, G, M ";"instantanée";"(une puce vivante) Vous faites apparaître provisoirement une nuée de mites, de puces et autres parasites sur une créature que vous voyez à portée. La cible doit réussir un JS Constitution, sous peine de subir 1d6 dégâts de poison et de devoir se déplacer dans une direction aléatoire si rien ne l’empêche de se déplacer et que sa VD est d’au moins 1,50 m. Lancez un d4 pour déterminer la direction : 1, nord / 2, sud / 3, est / 4, ouest. Si le déplacement dans la direction obtenue est impossible, la cible ne bouge pas. Ce déplacement ne provoque pas d’attaque d’opportunité. <br> Les dégâts de ce sort augmentent de 1d6 quand vous atteignez le niveau 5 (2d6), le niveau 11 (3d6) et le niveau 17 (4d6).";"Druide"
